Country,Country Name,CLASS, OSI , EPI , HCI , TII , POP , EGDI ,EGDR, POP(mil) 
EST,Estonia ,VH, 1.00 , 0.98 , 0.92 , 0.89 ,S, 0.94 ,8,1.3
DNK,Denmark ,VH, 0.98 , 0.89 , 0.96 , 0.98 ,S, 0.97 ,1,5.9
FIN,Finland ,VH, 0.98 , 0.95 , 0.96 , 0.91 ,S, 0.95 ,2,5.5
SGP,Singapore ,VH, 0.96 , 0.98 , 0.90 , 0.88 ,S, 0.91 ,12,5.4
SWE,Sweden ,VH, 0.90 , 0.73 , 0.96 , 0.96 ,S, 0.94 ,5,10.5
NZL,New Zealand ,VH, 0.96 , 0.95 , 0.98 , 0.89 ,S, 0.94 ,4,5.1
AUS,Australia ,VH, 0.94 , 0.99 , 1.00 , 0.88 ,S, 0.94 ,7,25.7
NDL,Netherlands ,VH, 0.90 , 0.97 , 0.95 , 0.96 ,S, 0.94 ,9,17.5
NOR,Norway ,VH, 0.80 , 0.69 , 0.95 , 0.91 ,S, 0.89 ,17,5.4
KOR,Korea,VH, 0.98 , 0.94 , 0.91 , 0.97 ,M, 0.95 ,3,77
GBR,UK,VH, 0.89 , 0.95 , 0.94 , 0.92 ,M, 0.91 ,11,67.3
JAP,Japan ,VH, 0.91 , 1.00 , 0.88 , 0.91 ,M, 0.90 ,14,125.7
SPA,Spain ,VH, 0.86 , 0.75 , 0.91 , 0.89 ,M, 0.88 ,18,47.3
FRA,France,VH, 0.88 , 0.72 , 0.88 , 0.89 ,M, 0.88 ,19,67.5
USA,USA,VH, 0.93 , 0.91 , 0.93 , 0.89 ,L, 0.92 ,10,332
CHI,China ,VH, 0.89 , 0.86 , 0.74 , 0.81 ,L, 0.81 ,43,"1,412.00"
IND,India ,HG, 0.79 , 0.59 , 0.58 , 0.40 ,L, 0.59 ,105,"1,393.00"
THA,Thailand ,VH, 0.78 , 0.78 , 0.79 , 0.73 ,M, 0.77 ,55,69.9
MAL,Malaysia,VH, 0.76 , 0.68 , 0.76 , 0.79 ,M, 0.77 ,53,32.8
IND,Indonesia ,HG, 0.76 , 0.72 , 0.74 , 0.64 ,M, 0.72 ,77,276.4
PHI,Philippines ,HG, 0.63 , 0.49 , 0.76 , 0.56 ,M, 0.65 ,89,111
MYA,Myanmar ,MD, 0.31 , 0.31 , 0.58 , 0.61 ,M, 0.50 ,134,54.8
CAM,Cambodia ,HG, 0.42 , 0.28 , 0.54 , 0.56 ,S, 0.51 ,127,17
LAO,Laos,MD, 0.30 , 0.26 , 0.55 , 0.28 ,S, 0.38 ,159,7.4
